 13305600. 0.00342590  0.01029835  0.02069162  0.04176337  0.08505560  0.17711850  0.48229694  0.78259977  1.83819996  3.40340001  
 13478400. 0.00342791  0.01030524  0.02071023  0.04183133  0.08548332  0.18406552  0.48229739  0.78259977  1.83819996  3.40340001  
 13651200. 0.00343058  0.01031431  0.02073416  0.04191173  0.08589807  0.19077539  0.48229783  0.78259977  1.83819996  3.40340001  
 13824000. 0.00343246  0.01032071  0.02075101  0.04196746  0.08617489  0.19742068  0.48229826  0.78259977  1.83819996  3.40340001  
 13996800. 0.00343346  0.01032413  0.02075996  0.04199644  0.08630921  0.20400011  0.48229868  0.78259977  1.83819996  3.40340001  
 14169600. 0.00343367  0.01032486  0.02076176  0.04200115  0.08631310  0.21049391  0.48229910  0.78259977  1.83819996  3.40340001  
 14342400. 0.00343319  0.01032320  0.02075727  0.04198450  0.08620196  0.21688371  0.48229952  0.78259977  1.83819996  3.40340001  
 14515200. 0.00344752  0.01037231  0.02089184  0.04249907  0.08995538  0.21839447  0.48229962  0.78259977  1.83819996  3.40340001  
 14688000. 0.00346918  0.01044652  0.02109039  0.04319311  0.09478193  0.21839575  0.48229962  0.78259977  1.83819996  3.40340001  
 14860800. 0.00348384  0.01049691  0.02122647  0.04368359  0.09974040  0.21839707  0.48229962  0.78259977  1.83819996  3.40340001  
 15033600. 0.00349211  0.01052539  0.02130371  0.04396613  0.10479971  0.21839841  0.48229962  0.78259977  1.83819996  3.40340001  
 15206400. 0.00350433  0.01056824  0.02143408  0.04463043  0.10918813  0.21839958  0.48229962  0.78259977  1.83819996  3.40340001  
 15379200. 0.00358705  0.01085797  0.02226310  0.04850369  0.10919266  0.21839958  0.48229962  0.78259977  1.83819996  3.40340001  
 15552000. 0.00363486  0.01102912  0.02278958  0.05272827  0.10919760  0.21839958  0.48229962  0.78259977  1.83819996  3.40340001  
 15724800. 0.00378977  0.01161290  0.02504940  0.05458094  0.10919977  0.21839958  0.48229962  0.78259977  1.83819996  3.40340001  
 15897600. 0.00431249  0.01359598  0.02729735  0.05459990  0.10919979  0.21839958  0.48229962  0.78259977  1.83819996  3.40340001  
 16070400. 0.00454910  0.01364972  0.02729996  0.05459992  0.10919979  0.21839958  0.48229962  0.78259977  1.83819996  3.40340001  
 16243200. 0.00454910  0.01364972  0.02729996  0.05459992  0.10919979  0.21839958  0.48229962  0.78259977  1.83819996  3.40340001  
 16416000. 0.00454910  0.01364972  0.02729996  0.05459992  0.10919979  0.21839958  0.48229962  0.78259977  1.83819996  3.40340001  
 16588800. 0.00454910  0.01364972  0.02729996  0.05459992  0.10919979  0.21839958  0.48229962  0.78259977  1.83819996  3.40340001  
 16761600. 0.00454910  0.01364972  0.02729996  0.05459992  0.10919979  0.21839958  0.48229962  0.78259977  1.83819996  3.40340001  
 16934400. 0.00454910  0.01364972  0.02729996  0.05459992  0.10919979  0.21839958  0.48229962  0.78259977  1.83819996  3.40340001  
 17107200. 0.00454910  0.01364972  0.02729996  0.05459992  0.10919979  0.21839958  0.48229962  0.78259977  1.83819996  3.40340001  
 17280000. 0.00454910  0.01364972  0.02729996  0.05459992  0.10919979  0.21839958  0.48229962  0.78259977  1.83819996  3.40340001  
 17452800. 0.00454910  0.01364972  0.02729996  0.05459992  0.10919979  0.21839958  0.48229962  0.78259977  1.83819996  3.40340001  
